day,window,available_rtt_teams,definition,active_machines,rtt_utilization
1,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
1,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
2,1,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
2,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
3,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
3,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
4,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
4,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
5,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
5,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
6,1,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
6,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
7,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
7,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
8,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
8,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
9,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
9,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
10,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
10,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
11,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
11,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
12,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
12,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
13,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
13,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
14,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
14,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
15,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
15,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
16,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
