machine,day,window,used_minutes,remaining_machine_capacity_minutes,utilization
1,1,1,48.0,60,0.8
1,1,2,48.0,66,0.7272727272727273
1,2,1,36.0,60,0.6
1,2,2,60.0,66,0.9090909090909091
1,3,1,48.0,72,0.6666666666666666
1,3,2,96.0,120,0.8
1,4,1,12.0,84,0.14285714285714285
1,4,2,132.0,132,1.0
1,5,1,24.0,96,0.25
1,5,2,120.0,132,0.9090909090909091
1,6,1,36.0,96,0.375
1,6,2,132.0,132,1.0
1,7,1,72.0,108,0.6666666666666666
1,7,2,144.0,168,0.8571428571428571
1,8,1,132.0,132,1.0
1,8,2,180.0,180,1.0
1,9,1,144.0,144,1.0
1,9,2,180.0,180,1.0
1,10,1,120.0,144,0.8333333333333334
1,10,2,108.0,180,0.6
1,11,1,72.0,144,0.5
1,11,2,108.0,180,0.6
1,12,1,84.0,168,0.5
1,12,2,48.0,180,0.26666666666666666
1,13,1,132.0,168,0.7857142857142857
1,13,2,48.0,192,0.25
1,14,1,132.0,168,0.7857142857142857
1,14,2,60.0,204,0.29411764705882354
1,15,1,132.0,180,0.7333333333333333
1,15,2,84.0,204,0.4117647058823529
1,16,1,72.0,180,0.4
1,16,2,132.0,204,0.6470588235294118
1,17,1,84.0,180,0.4666666666666667
1,17,2,96.0,204,0.47058823529411764
1,18,1,120.0,180,0.6666666666666666
1,18,2,84.0,204,0.4117647058823529
1,19,1,108.0,180,0.6
1,19,2,84.0,228,0.3684210526315789
1,20,1,84.0,180,0.4666666666666667
1,20,2,84.0,240,0.35
1,21,1,60.0,180,0.3333333333333333
1,21,2,96.0,240,0.4
1,22,1,96.0,192,0.5
1,22,2,60.0,240,0.25
1,23,1,156.0,216,0.7222222222222222
1,23,2,72.0,240,0.3
1,24,1,144.0,240,0.6
1,24,2,60.0,240,0.25
1,25,1,132.0,240,0.55
1,25,2,48.0,240,0.2
1,26,1,108.0,240,0.45
1,26,2,24.0,240,0.1
1,27,1,60.0,240,0.25
1,27,2,48.0,240,0.2
1,28,1,48.0,240,0.2
1,28,2,60.0,240,0.25
1,29,1,60.0,240,0.25
1,29,2,48.0,240,0.2
1,30,1,60.0,240,0.25
1,30,2,48.0,240,0.2
1,31,1,72.0,240,0.3
1,31,2,24.0,240,0.1
1,32,1,60.0,240,0.25
1,32,2,12.0,240,0.05
1,33,1,60.0,240,0.25
1,33,2,12.0,240,0.05
1,34,1,48.0,240,0.2
1,34,2,24.0,240,0.1
1,35,1,48.0,240,0.2
1,35,2,24.0,240,0.1
1,36,1,36.0,240,0.15
1,36,2,24.0,240,0.1
1,37,1,36.0,240,0.15
1,37,2,0.0,240,0.0
1,38,1,36.0,240,0.15
1,38,2,0.0,240,0.0
1,39,1,36.0,240,0.15
1,39,2,0.0,240,0.0
1,40,1,36.0,240,0.15
1,40,2,0.0,240,0.0
1,41,1,36.0,240,0.15
1,41,2,0.0,240,0.0
1,42,1,12.0,240,0.05
1,42,2,0.0,240,0.0
1,43,1,12.0,240,0.05
1,43,2,0.0,240,0.0
1,44,1,12.0,240,0.05
1,44,2,0.0,240,0.0
1,45,1,12.0,240,0.05
1,45,2,0.0,240,0.0
1,46,1,12.0,240,0.05
1,46,2,0.0,240,0.0
1,47,1,0.0,240,0.0
1,47,2,0.0,240,0.0
1,48,1,0.0,240,0.0
1,48,2,0.0,240,0.0
1,49,1,0.0,240,0.0
1,49,2,0.0,240,0.0
1,50,1,0.0,240,0.0
1,50,2,0.0,240,0.0
1,51,1,0.0,240,0.0
1,51,2,0.0,240,0.0
1,52,1,0.0,240,0.0
1,52,2,0.0,240,0.0
1,53,1,0.0,240,0.0
1,53,2,0.0,240,0.0
1,54,1,0.0,240,0.0
1,54,2,0.0,240,0.0
1,55,1,0.0,240,0.0
1,55,2,0.0,240,0.0
1,56,1,0.0,240,0.0
1,56,2,0.0,240,0.0
1,57,1,0.0,240,0.0
1,57,2,0.0,240,0.0
1,58,1,0.0,240,0.0
1,58,2,0.0,240,0.0
1,59,1,0.0,240,0.0
1,59,2,0.0,240,0.0
1,60,1,0.0,240,0.0
1,60,2,0.0,240,0.0
1,61,1,0.0,240,0.0
1,61,2,0.0,240,0.0
1,62,1,0.0,240,0.0
1,62,2,0.0,240,0.0
1,63,1,0.0,240,0.0
1,63,2,0.0,240,0.0
1,64,1,0.0,240,0.0
1,64,2,0.0,240,0.0
1,65,1,0.0,240,0.0
1,65,2,0.0,240,0.0
1,66,1,0.0,240,0.0
1,66,2,0.0,240,0.0
1,67,1,0.0,240,0.0
1,67,2,0.0,240,0.0
1,68,1,0.0,240,0.0
1,68,2,0.0,240,0.0
1,69,1,0.0,240,0.0
1,69,2,0.0,240,0.0
1,70,1,0.0,240,0.0
1,70,2,0.0,240,0.0
1,71,1,0.0,240,0.0
1,71,2,0.0,240,0.0
1,72,1,0.0,240,0.0
1,72,2,0.0,240,0.0
1,73,1,0.0,240,0.0
1,73,2,0.0,240,0.0
1,74,1,0.0,240,0.0
1,74,2,0.0,240,0.0
1,75,1,0.0,240,0.0
1,75,2,0.0,240,0.0
1,76,1,0.0,240,0.0
1,76,2,0.0,240,0.0
1,77,1,0.0,240,0.0
1,77,2,0.0,240,0.0
1,78,1,0.0,240,0.0
1,78,2,0.0,240,0.0
1,79,1,0.0,240,0.0
1,79,2,0.0,240,0.0
1,80,1,0.0,240,0.0
1,80,2,0.0,240,0.0
1,81,1,0.0,240,0.0
1,81,2,0.0,240,0.0
1,82,1,0.0,240,0.0
1,82,2,0.0,240,0.0
1,83,1,0.0,240,0.0
1,83,2,0.0,240,0.0
1,84,1,0.0,240,0.0
1,84,2,0.0,240,0.0
1,85,1,0.0,240,0.0
1,85,2,0.0,240,0.0
1,86,1,0.0,240,0.0
1,86,2,0.0,240,0.0
2,1,1,72.0,72,1.0
2,1,2,48.0,96,0.5
2,2,1,84.0,84,1.0
2,2,2,96.0,96,1.0
2,3,1,120.0,120,1.0
2,3,2,144.0,144,1.0
2,4,1,132.0,144,0.9166666666666666
2,4,2,120.0,144,0.8333333333333334
2,5,1,132.0,144,0.9166666666666666
2,5,2,168.0,168,1.0
2,6,1,156.0,156,1.0
2,6,2,120.0,168,0.7142857142857143
2,7,1,156.0,156,1.0
2,7,2,156.0,180,0.8666666666666667
2,8,1,156.0,156,1.0
2,8,2,84.0,180,0.4666666666666667
2,9,1,168.0,168,1.0
2,9,2,120.0,180,0.6666666666666666
2,10,1,168.0,168,1.0
2,10,2,192.0,204,0.9411764705882353
2,11,1,168.0,168,1.0
2,11,2,204.0,204,1.0
2,12,1,192.0,192,1.0
2,12,2,192.0,216,0.8888888888888888
2,13,1,192.0,192,1.0
2,13,2,108.0,228,0.47368421052631576
2,14,1,180.0,204,0.8823529411764706
2,14,2,192.0,228,0.8421052631578947
2,15,1,216.0,216,1.0
2,15,2,132.0,228,0.5789473684210527
2,16,1,204.0,216,0.9444444444444444
2,16,2,168.0,240,0.7
2,17,1,192.0,216,0.8888888888888888
2,17,2,132.0,240,0.55
2,18,1,180.0,216,0.8333333333333334
2,18,2,144.0,240,0.6
2,19,1,216.0,216,1.0
2,19,2,96.0,240,0.4
2,20,1,216.0,216,1.0
2,20,2,144.0,240,0.6
2,21,1,216.0,216,1.0
2,21,2,132.0,240,0.55
2,22,1,204.0,216,0.9444444444444444
2,22,2,96.0,240,0.4
2,23,1,168.0,216,0.7777777777777778
2,23,2,84.0,240,0.35
2,24,1,156.0,216,0.7222222222222222
2,24,2,216.0,240,0.9
2,25,1,228.0,228,1.0
2,25,2,192.0,240,0.8
2,26,1,240.0,240,1.0
2,26,2,156.0,240,0.65
2,27,1,108.0,240,0.45
2,27,2,108.0,240,0.45
2,28,1,96.0,240,0.4
2,28,2,60.0,240,0.25
2,29,1,48.0,240,0.2
2,29,2,72.0,240,0.3
2,30,1,60.0,240,0.25
2,30,2,60.0,240,0.25
2,31,1,60.0,240,0.25
2,31,2,48.0,240,0.2
2,32,1,72.0,240,0.3
2,32,2,36.0,240,0.15
2,33,1,60.0,240,0.25
2,33,2,24.0,240,0.1
2,34,1,24.0,240,0.1
2,34,2,48.0,240,0.2
2,35,1,24.0,240,0.1
2,35,2,36.0,240,0.15
2,36,1,36.0,240,0.15
2,36,2,24.0,240,0.1
2,37,1,36.0,240,0.15
2,37,2,24.0,240,0.1
2,38,1,24.0,240,0.1
2,38,2,36.0,240,0.15
2,39,1,36.0,240,0.15
2,39,2,24.0,240,0.1
2,40,1,36.0,240,0.15
2,40,2,24.0,240,0.1
2,41,1,36.0,240,0.15
2,41,2,24.0,240,0.1
2,42,1,36.0,240,0.15
2,42,2,24.0,240,0.1
2,43,1,36.0,240,0.15
2,43,2,24.0,240,0.1
2,44,1,24.0,240,0.1
2,44,2,24.0,240,0.1
2,45,1,24.0,240,0.1
2,45,2,0.0,240,0.0
2,46,1,24.0,240,0.1
2,46,2,0.0,240,0.0
2,47,1,24.0,240,0.1
2,47,2,0.0,240,0.0
2,48,1,24.0,240,0.1
2,48,2,0.0,240,0.0
2,49,1,12.0,240,0.05
2,49,2,0.0,240,0.0
2,50,1,0.0,240,0.0
2,50,2,0.0,240,0.0
2,51,1,0.0,240,0.0
2,51,2,0.0,240,0.0
2,52,1,0.0,240,0.0
2,52,2,0.0,240,0.0
2,53,1,0.0,240,0.0
2,53,2,0.0,240,0.0
2,54,1,0.0,240,0.0
2,54,2,0.0,240,0.0
2,55,1,0.0,240,0.0
2,55,2,0.0,240,0.0
2,56,1,0.0,240,0.0
2,56,2,0.0,240,0.0
2,57,1,0.0,240,0.0
2,57,2,0.0,240,0.0
2,58,1,0.0,240,0.0
2,58,2,0.0,240,0.0
2,59,1,0.0,240,0.0
2,59,2,0.0,240,0.0
2,60,1,0.0,240,0.0
2,60,2,0.0,240,0.0
2,61,1,0.0,240,0.0
2,61,2,0.0,240,0.0
2,62,1,0.0,240,0.0
2,62,2,0.0,240,0.0
2,63,1,0.0,240,0.0
2,63,2,0.0,240,0.0
2,64,1,0.0,240,0.0
2,64,2,0.0,240,0.0
2,65,1,0.0,240,0.0
2,65,2,0.0,240,0.0
2,66,1,0.0,240,0.0
2,66,2,0.0,240,0.0
2,67,1,0.0,240,0.0
2,67,2,0.0,240,0.0
2,68,1,0.0,240,0.0
2,68,2,0.0,240,0.0
2,69,1,0.0,240,0.0
2,69,2,0.0,240,0.0
2,70,1,0.0,240,0.0
2,70,2,0.0,240,0.0
2,71,1,0.0,240,0.0
2,71,2,0.0,240,0.0
2,72,1,0.0,240,0.0
2,72,2,0.0,240,0.0
2,73,1,0.0,240,0.0
2,73,2,0.0,240,0.0
2,74,1,0.0,240,0.0
2,74,2,0.0,240,0.0
2,75,1,0.0,240,0.0
2,75,2,0.0,240,0.0
2,76,1,0.0,240,0.0
2,76,2,0.0,240,0.0
2,77,1,0.0,240,0.0
2,77,2,0.0,240,0.0
2,78,1,0.0,240,0.0
2,78,2,0.0,240,0.0
2,79,1,0.0,240,0.0
2,79,2,0.0,240,0.0
2,80,1,0.0,240,0.0
2,80,2,0.0,240,0.0
2,81,1,0.0,240,0.0
2,81,2,0.0,240,0.0
2,82,1,0.0,240,0.0
2,82,2,0.0,240,0.0
2,83,1,0.0,240,0.0
2,83,2,0.0,240,0.0
2,84,1,0.0,240,0.0
2,84,2,0.0,240,0.0
2,85,1,0.0,240,0.0
2,85,2,0.0,240,0.0
2,86,1,0.0,240,0.0
2,86,2,0.0,240,0.0
3,1,1,48.0,60,0.8
3,1,2,48.0,72,0.6666666666666666
3,2,1,0.0,84,0.0
3,2,2,72.0,120,0.6
3,3,1,60.0,96,0.625
3,3,2,0.0,168,0.0
3,4,1,0.0,96,0.0
3,4,2,60.0,168,0.35714285714285715
3,5,1,48.0,96,0.5
3,5,2,12.0,180,0.06666666666666667
3,6,1,0.0,96,0.0
3,6,2,60.0,198,0.30303030303030304
3,7,1,48.0,96,0.5
3,7,2,12.0,240,0.05
3,8,1,48.0,120,0.4
3,8,2,12.0,240,0.05
3,9,1,0.0,144,0.0
3,9,2,84.0,240,0.35
3,10,1,60.0,144,0.4166666666666667
3,10,2,12.0,240,0.05
3,11,1,108.0,144,0.75
3,11,2,12.0,240,0.05
3,12,1,96.0,144,0.6666666666666666
3,12,2,12.0,240,0.05
3,13,1,108.0,144,0.75
3,13,2,24.0,240,0.1
3,14,1,72.0,156,0.46153846153846156
3,14,2,24.0,240,0.1
3,15,1,72.0,156,0.46153846153846156
3,15,2,24.0,240,0.1
3,16,1,0.0,156,0.0
3,16,2,96.0,240,0.4
3,17,1,84.0,168,0.5
