machine,day,window,used_minutes,remaining_machine_capacity_minutes,utilization
1,40,3,0.0,120,0.0
1,40,4,36.0,120,0.3
1,41,1,0.0,120,0.0
1,41,2,0.0,120,0.0
1,41,3,0.0,120,0.0
1,41,4,36.0,120,0.3
1,42,1,0.0,120,0.0
1,42,2,0.0,120,0.0
1,42,3,0.0,120,0.0
1,42,4,24.0,120,0.2
1,43,1,0.0,120,0.0
1,43,2,0.0,120,0.0
1,43,3,0.0,120,0.0
1,43,4,24.0,120,0.2
1,44,1,0.0,120,0.0
1,44,2,0.0,120,0.0
1,44,3,0.0,120,0.0
1,44,4,24.0,120,0.2
1,45,1,0.0,120,0.0
1,45,2,0.0,120,0.0
1,45,3,0.0,120,0.0
1,45,4,24.0,120,0.2
1,46,1,0.0,120,0.0
1,46,2,12.0,120,0.1
1,46,3,0.0,120,0.0
1,46,4,12.0,120,0.1
1,47,1,0.0,120,0.0
1,47,2,0.0,120,0.0
1,47,3,0.0,120,0.0
1,47,4,0.0,120,0.0
1,48,1,0.0,120,0.0
1,48,2,0.0,120,0.0
1,48,3,0.0,120,0.0
1,48,4,0.0,120,0.0
1,49,1,0.0,120,0.0
1,49,2,0.0,120,0.0
1,49,3,0.0,120,0.0
1,49,4,0.0,120,0.0
1,50,1,0.0,120,0.0
1,50,2,0.0,120,0.0
1,50,3,0.0,120,0.0
1,50,4,0.0,120,0.0
1,51,1,0.0,120,0.0
1,51,2,0.0,120,0.0
1,51,3,0.0,120,0.0
1,51,4,0.0,120,0.0
1,52,1,0.0,120,0.0
1,52,2,0.0,120,0.0
1,52,3,0.0,120,0.0
1,52,4,0.0,120,0.0
1,53,1,0.0,120,0.0
1,53,2,0.0,120,0.0
1,53,3,0.0,120,0.0
1,53,4,0.0,120,0.0
1,54,1,0.0,120,0.0
1,54,2,0.0,120,0.0
1,54,3,0.0,120,0.0
1,54,4,0.0,120,0.0
1,55,1,0.0,120,0.0
1,55,2,0.0,120,0.0
1,55,3,0.0,120,0.0
1,55,4,0.0,120,0.0
1,56,1,0.0,120,0.0
1,56,2,0.0,120,0.0
1,56,3,0.0,120,0.0
1,56,4,0.0,120,0.0
