day,window,available_rtt_teams,definition,active_machines,rtt_utilization,available_rtt_teams_before_disruption,rtt_shortage_level
39,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4,10,0.5
39,2,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5,10,0.5
40,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4,10,0.5
40,2,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5,10,0.5
41,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4,10,0.5
41,2,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5,10,0.5
42,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4,10,0.5
42,2,10,one_treatment_delivery_team_per_active_machine_window,3.0,0.3,10,0.5
43,1,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5,10,0.5
43,2,10,one_treatment_delivery_team_per_active_machine_window,2.0,0.2,10,0.5
44,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4,10,0.5
44,2,10,one_treatment_delivery_team_per_active_machine_window,3.0,0.3,10,0.5
45,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4,10,0.5
45,2,10,one_treatment_delivery_team_per_active_machine_window,1.0,0.1,10,0.5
46,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4,10,0.5
46,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
47,1,10,one_treatment_delivery_team_per_active_machine_window,2.0,0.2,10,0.5
47,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
48,1,10,one_treatment_delivery_team_per_active_machine_window,2.0,0.2,10,0.5
48,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
49,1,10,one_treatment_delivery_team_per_active_machine_window,2.0,0.2,10,0.5
49,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
50,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
50,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
51,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
51,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
52,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
52,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
53,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
53,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
54,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
54,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
55,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
55,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
56,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
56,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
57,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
57,2,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
58,1,10,one_treatment_delivery_team_per_active_machine_window,0.0,0.0,10,0.5
